bug_id,num_explanations,normalized_semantic_score
HIT01_8,1,-0.10720138538423897
HIT01_8,1,-2.8355074580693
HIT01_8,1,-0.6393261015269248
HIT01_8,10,0.22482517661194218
HIT01_8,15,0.9623684342019856
HIT01_8,20,0.8261987640716696
HIT01_8,25,0.5079600663775777
HIT01_8,3,-0.20679473635333742
HIT01_8,3,-0.4652222490791465
HIT01_8,3,0.49363980507016403
HIT01_8,31,0.20010776786542048
HIT01_8,5,1.038951916214183
HIT02_24,1,-1.864461027395575
HIT02_24,1,0.32801754357092294
HIT02_24,1,-1.6510557276067093
HIT02_24,10,0.6005464775715322
HIT02_24,18,0.9870237366979279
HIT02_24,3,0.651552330272697
HIT02_24,3,0.4253553234823934
HIT02_24,3,-0.29216313619840106
HIT02_24,5,0.8151844796052111
HIT03_6,1,-0.4641776868705615
HIT03_6,1,-2.530266690617669
HIT03_6,1,0.1387199784800931
HIT03_6,10,-0.3639488496846383
HIT03_6,15,0.5473907055281032
HIT03_6,20,1.232874994268737
HIT03_6,25,0.2673584546724583
HIT03_6,3,0.5395094537678424
HIT03_6,3,0.5149384306949433
HIT03_6,3,-1.2618928468213286
HIT03_6,31,1.0357110086607448
HIT03_6,5,0.34378304792127135
HIT04_7,1,-1.4166834001309512
HIT04_7,1,-2.2192614287297077
HIT04_7,1,-0.9447166051161066
HIT04_7,10,1.0389074339696471
HIT04_7,15,1.1164023147798405
HIT04_7,20,0.7274795099717354
HIT04_7,25,0.4341018723869017
HIT04_7,3,0.04227522567197655
HIT04_7,3,-1.1034904177203146
HIT04_7,3,-0.20908182901018993
HIT04_7,30,0.9982741284161163
HIT04_7,35,0.33287382830873613
HIT04_7,44,0.46364367952204233
HIT04_7,5,0.739275687680275
HIT05_35,1,-1.0900902023643015
HIT05_35,1,-1.377473204340338
HIT05_35,1,-1.5978117319791176
HIT05_35,10,-0.019387280791721643
HIT05_35,15,1.5467984772786612
HIT05_35,20,0.26928762723566374
HIT05_35,25,1.3290284874190998
HIT05_35,3,-0.1268706208273733
HIT05_35,3,0.9176732303532572
HIT05_35,3,-0.47868581068185156
HIT05_35,33,0.9638488302355878
HIT05_35,5,-0.3363178015375633
HIT06_51,1,-0.7474366834432925
HIT06_51,1,-0.8277889710056945
HIT06_51,1,-0.9912398148289007
HIT06_51,10,2.0979898443459435
HIT06_51,17,1.4063151333382768
HIT06_51,3,-0.2593135012799478
HIT06_51,3,-0.41188968027679573
HIT06_51,3,0.11348109298120816
HIT06_51,5,-0.3801174198307981
HIT07_33,1,0.19274098485168062
HIT07_33,1,-1.5365168859384286
HIT07_33,1,-2.2359490444636148
HIT07_33,10,0.580442780303513
HIT07_33,15,0.794016013889375
HIT07_33,20,0.8739957337271472
HIT07_33,3,0.8479916824074937
HIT07_33,3,0.13060820099505976
HIT07_33,3,-0.014607394434705077
HIT07_33,5,0.3672779286624767
HIT08_54,1,-1.2905713173101871
HIT08_54,1,0.17981799661369183
HIT08_54,1,-1.9145464204369282
HIT08_54,10,0.4606462984878497
HIT08_54,15,0.9545560520174446
HIT08_54,20,0.8657133202856314
HIT08_54,29,1.0921769407374924
HIT08_54,3,0.2924277332334393
HIT08_54,3,0.6708457286434221
HIT08_54,3,-1.4223204380889467
HIT08_54,5,0.1112541058170942
