Person.id|Post.id|creationDate
2199023256077|481036337193|2011-09-13T01:04:00.756+0000
24189255811254|755914244149|2012-04-05T13:35:15.915+0000
24189255811254|755914244152|2012-04-06T08:21:32.711+0000
2199023256077|481036337268|2011-04-02T16:14:22.039+0000
24189255811254|481036337268|2012-01-21T06:15:11.541+0000
24189255811254|481036337280|2012-01-23T01:54:41.238+0000
10995116278291|343597383821|2011-11-30T09:01:41.847+0000
10995116278291|343597383824|2011-12-05T11:11:14.087+0000
10995116278291|137438953630|2011-06-06T14:55:50.885+0000
2199023256077|206158430383|2010-12-28T23:02:51.026+0000
2199023256077|206158430395|2011-01-01T09:03:43.708+0000
10995116278291|206158430395|2011-04-11T20:35:16.789+0000
24189255811254|206158430395|2012-06-01T21:14:55.055+0000
10995116278291|481036337347|2011-08-03T00:40:06.535+0000
24189255811254|481036337347|2012-05-08T18:53:53.282+0000
2199023256077|687194767581|2012-03-29T19:04:16.332+0000
10995116278291|687194767581|2012-01-09T04:05:38.164+0000
2199023256077|687194767598|2011-12-29T22:42:25.170+0000
10995116278291|687194767598|2012-01-20T23:57:03.558+0000
24189255811254|687194767598|2012-03-29T13:36:59.293+0000
10995116278291|687194767599|2012-01-20T08:30:13.012+0000
2199023256077|687194767607|2012-01-01T10:57:48.079+0000
10995116278291|687194767607|2012-01-17T12:31:20.539+0000
24189255811254|687194767607|2012-03-28T07:48:56.488+0000
2199023256077|687194767608|2011-12-29T01:16:02.822+0000
10995116278291|687194767608|2012-01-22T16:01:39.035+0000
24189255811254|687194767608|2012-03-30T09:08:03.065+0000
10995116278291|206158430487|2011-11-02T05:03:20.031+0000
2199023256077|206158430488|2012-01-16T02:59:15.529+0000
10995116278291|206158430488|2011-10-30T01:22:48.217+0000
24189255811254|206158430488|2012-06-30T19:55:13.136+0000
2199023256077|755914244428|2012-01-20T14:36:46.948+0000
10995116278291|755914244428|2012-06-15T10:36:12.096+0000
24189255811254|755914244428|2012-06-25T14:50:10.709+0000
24189255811254|343597384018|2012-08-24T14:01:09.709+0000
24189255811254|343597384024|2012-08-22T11:10:21.440+0000
10995116278291|824633721185|2012-09-12T10:04:02.455+0000
24189255811254|824633721185|2012-03-12T08:09:12.252+0000
24189255811254|962072674668|2012-09-02T05:15:22.871+0000
24189255811254|962072674677|2012-09-04T22:42:00.019+0000
24189255811254|962072674680|2012-09-02T05:51:40.958+0000
2199023257206|274877907457|2010-11-04T07:33:40.306+0000
4398046512201|274877907457|2010-11-05T01:40:58.889+0000
6597069768211|274877907457|2010-11-04T00:28:43.031+0000
8796093022467|274877907457|2010-11-05T08:15:33.000+0000
